"ccode","cname","year","ccodealp","ccodecow","p_durable","p_polity2_onset","d_p_polity2","arch_exit_any","arch_exit_reg","arch_exit_irreg","regime_change","regime_change_year","prevrc","democratization","duration","twincrisis","twincrisis2","triplecrisis","twincrisis_any","wr_regtype","military","personal","party","wr_monarchy","gwf_regimetype","gwf_party","gwf_personal","gwf_military","gwf_monarch","gdppcgr_onset","d_gdppcgr_max","d_gdppcgr_total","d_gdppcgr","vdem_index","ers_onset","mi_onset","kaopen_onset","d_ers","d_mi","d_kaopen","ers_mi_onset","d_ers_mi","mi_kaopen_onset","d_mi_kaopen","ers_kaopen_onset","d_ers_kaopen","ers_mi_policy","mi_kaopen_policy","ers_kaopen_policy","latam","mideast","africa","asia","southeastasia","europe","exussr","time","time2"
"231","Ethiopia (1993-)","1993","ETH","530","0","0","1","0","0","0","0","","1","0","2","0","0","0","0","6","0","0","1","0","party-based","1","0","0","0","-11.88963575","9.175556877","9.175556877","9.175556877","0.247502203","1","0.61767095327377","0.16480922698975","0","0","-0.164809227","0.56953298371373","0","0.7181872561049","0.058025212948873","0.402381503267","0.079402439121047","0","0","1","0","0","1","0","0","0","0","1","1"
"266","Gabon","1994","GAB","481","3","-4","0","0","0","0","0","","0","0","34","0","1","0","1","9","0","1","1","0","party-personal","1","0","0","0","-0.30787","0.95162","0.95162","0.95162","0.377524096","1","0.16530676186085","0.41280457377434","0","0.052263677","0","0.88479447159847","-0.036423582865346","0.32024839509246","0.035888011631786","0.28290132739923","0","0","1","0","0","0","1","0","0","0","0","1","1"
"270","Gambia","1985","GMB","420","20","7","0","0","0","0","0","","0","0","20","0","1","0","1","6","0","0","1","0","party-based","1","0","0","0","-5.960492469","-11.55639515","-11.55639515","-11.55639515","0.54024","1","0.61352491378784","0","0","-0.014259696","0","0.57242244004555","0.0099378621588911","0.77336549919831","-0.009791736141715","0.48178394238805","0","1","0","0","0","0","1","0","0","0","0","1","1"
"270","Gambia","2003","GMB","420","6","-5","0","0","0","0","0","","0","0","9","0","0","0","0","10","0","1","0","0","personal","0","1","0","0","-6.16205","3.47506","3.47506","3.47506","0.317521687","0.26942446827888","0.64584720134735","1","-0.083712742","-0.021955669","0","0.27261958296887","-0.016470330633997","0.44348528751621","-0.015076346426911","0.37910473461714","0.043439583397824","0","0","1","0","0","1","0","0","0","0","1","1"
"268","Georgia","1999","GEO","372","8","5","0","0","0","0","0","","0","0","7","0","0","0","0","10","0","1","0","0","personal","0","1","0","0","3.84154","3.57752","3.57752","3.57752","0.417451209","0.17070278525352","0.73302870988846","0.63080048561096","-0.056639038","0.179925501","0.060602069","0.17439303620503","-0.14688994452131","0.63333633037546","0.1022133561723","0.60820704199161","0.00019359797022334","0","1","0","0","0","0","0","0","0","1","1","1"
"288","Ghana","1967","GHA","452","7","-7","0","0","0","0","0","","1","0","1","0","1","0","1","2","1","0","0","0","military","0","0","1","0","-2.7572","-1.12521","-1.12521","-1.12521","0.302433733","1","0.3796965777874","","0","0.142863601","","0.73538199899486","-0.099564449201446","","","","","","","","0","0","1","0","0","0","0","1","1"
"288","Ghana","1978","GHA","452","0","-7","13","1","0","1","1","1979","0","1","6","0","1","0","1","2","1","0","0","0","military","0","0","1","0","0.30392","6.647","6.647","6.647","0.129510087","1","0.5","0.16480922698975","0","0","-0.164809227","0.65154018170621","0","0.63738588941002","0.058025212948872","0.402381503267","0.079402439121047","0","0","1","0","0","1","0","0","0","0","1","1"
"288","Ghana","1983-1989","GHA","452","2","-7","0","0","0","0","0","","1","0","2","1","1","1","1","10","0","1","0","0","personal","0","1","0","0","-8.76747","-10.44311","1.4666269164658","0.20951813092369","0.127135047","1","0.5","0","-0.93601715564728","0.28184819221497","0","0.65154018170621","-0.47940119406807","0.6954111023589","0.1935373046436","0.48178394238805","0.48571094976694","0","0","1","0","0","1","0","0","0","0","1","7"
"288","Ghana","1992-1997","GHA","452","0","-4","6","0","0","0","0","","0","0","11","0","0","0","0","10","0","1","0","0","personal","0","1","0","0","2.7658","1.13593","14.374613391106","2.0535161987294","0.12032401","0.59421819448471","0.65011620521545","0","-0.36352731287479","-0.22888749837875","0.41280457377434","0.39291405505209","0.052862615446673","0.79849172002192","-0.26903081316252","0.69234917077714","0.18863884634736","0","0","1","0","0","1","0","0","0","0","1","6"
"288","Ghana","1999-2000","GHA","452","3","2","0","0","0","0","1","2000","0","1","18","0","0","0","0","10","0","1","0","0","personal","0","1","0","0","3.18512","2.15907","4.9367033482613","2.4683516741306","0.642091786","0.60110688209534","0.29071065783501","0.16480922698975","-0.41201289","-0.151460454","0","0.64600531616531","-0.050816327186284","0.49367272646608","-0.10400367577783","0.60937210593281","0.21379861565746","0","0","1","0","0","1","0","0","0","0","1","2"
"320","Guatemala","1986","GTM","90","0","-1","4","1","1","0","0","","1","0","1","0","1","0","1","1","1","0","0","0","indirect military","0","0","1","0","-3.24343","-2.93301","-2.93301","-2.93301","0.199874084","1","0.5","0","0","0","0","0.65154018170621","0","0.6954111023589","0","0.48178394238805","0","1","1","1","1","0","0","0","0","0","0","1","1"
"320","Guatemala","1989-1991","GTM","90","3","3","0","1","1","0","0","","0","0","4","0","1","0","1","1","1","0","0","0","indirect military","0","0","1","0","-0.21518","0.38893","2.4236916747315","0.8078972249105","0.40680194","1","0.50378429889679","0.16480922698975","-0.88418177515268","0.097858786582947","0.30859744548798","0.64890282949432","-0.391956198094","0.63998446207673","-0.11856293864216","0.402381503267","0.36034095298679","0","0","1","1","0","0","0","0","0","0","1","3"
"324","Guinea","1982","GIN","438","24","-9","0","0","0","0","0","","0","0","24","0","0","0","0","6","0","0","1","0","party-based","1","0","0","0","-1.42953","-0.21939","-0.21939","-0.21939","0.148981681","0.37237638235092","","0.16480922698975","0.026713043","","0","","","","","0.72806320854909","-0.013861730661258","","","","0","0","1","0","0","0","0","1","1"
"324","Guinea","2005","GIN","438","10","-1","0","0","0","0","0","","0","0","21","0","0","0","0","10","0","1","0","0","personal","0","1","0","0","0.23154","0.95902","0.95902","0.95902","0.325324215","1","0.21292364597321","0","-0.759651557","0","0.164809227","0.85160933002745","-0.2883121031489","0.49828376459374","-0.058025212948872","0.48178394238805","0.31479020663056","0","0","1","0","0","1","0","0","0","0","1","1"
"624","Guinea-Bissau","1980","GNB","404","6","-7","0","1","0","1","1","","0","0","6","0","0","0","0","6","0","0","1","0","party-based","1","0","0","0","0.22885","-17.79243","-17.79243","-17.79243","0.103302961","0.43935909867287","0.40044993162155","","-0.084286183","-0.119130969","","0.5081373955385","0.051035404834076","","","","","","","","0","0","1","0","0","0","0","1","1"
"624","Guinea-Bissau","1994-1997","GNB","404","0","5","0","0","0","0","0","","0","0","14","1","1","1","1","10","0","1","0","0","personal","0","1","0","0","-1.04946","0.23677","7.9607608324218","2.6535869441406","0.124483855","0.19560165703297","0.62695771455765","0","0.145799413","-0.126957715","0.22541129589081","0.25776591526393","0.14381487271146","0.7825894294083","-0.16654001500853","0.89919625240419","-0.16346147086954","1","0","0","0","0","1","0","0","0","0","1","4"
"332","Haiti","1992-1993","HTI","41","1","-7","14","1","0","1","1","1994","1","1","1","1","1","1","1","2","1","0","0","0","military","0","0","1","0","-1.7025684044351","-15.36632","-18.954775526747","-9.4773877633736","0.31876","0.079759523272514","","0.41280457377434","0.177564397","","0","","","","","0.76042556215131","-0.092140375432182","","","","1","0","0","0","0","0","0","1","2"
"332","Haiti","2003","HTI","41","3","-2","2","1","0","1","1","2004","0","1","4","0","0","0","0","10","0","1","0","0","personal","0","1","0","0","-2.35042","-1.48756","-1.48756","-1.48756","0.435984562","0.19220441579819","0.51469957828522","0.69698959589005","-0.014877006","0.177468061","0.060602069","0.33471145291084","-0.12932727744646","0.46011226301456","0.1005259006285","0.56516072784448","-0.021477239917128","0","1","0","1","0","0","0","0","0","0","1","1"
"348","Hungary","1968","HUN","310","10","-7","0","0","0","0","0","","0","0","21","0","0","0","0","6","0","0","1","0","party-based","1","0","0","0","5.3332255451391","0.82064987126421","0.82064987126421","0.82064987126421","0.13434","1","","","0","","","","","","","","","","","","0","0","0","0","0","1","0","1","1"
"348","Hungary","1982","HUN","310","24","-7","0","0","0","0","0","","0","0","35","0","0","0","0","6","0","0","1","0","party-based","1","0","0","0","0.69929","3.66361","3.66361","3.66361","0.142876063","0.38198322057724","0.62382704019547","","-0.058615446","0","","0.33068551828629","-0.022246439689813","","","","","","","","0","0","0","0","0","1","0","1","1"
"348","Hungary","1989","HUN","310","0","-2","6","1","1","0","1","1990","0","1","42","0","0","0","0","6","0","0","1","0","party-based","1","0","0","0","3.17887","-1.82137","-1.82137","-1.82137","0.174652315","0.26769980788231","0.65509361028671","0","-0.055956274","0.116084933","0","0.26552101513662","-0.1021390683062","0.80190956547283","0.07971229093352","0.86178362474646","0.029036407033371","0","1","0","0","0","0","0","0","1","0","1","1"
"360","Indonesia","1967-1968","IDN","850","0","-6","-1","0","0","0","0","","1","0","1","0","1","0","1","8","1","1","1","0","party-personal-military","1","0","0","0","-2.5940346614184","-3.143066346498","5.4825906735751","2.7412953367876","0.14164","","","","","","","","","","","","","","","","0","0","0","0","1","0","0","1","2"
"360","Indonesia","1978","IDN","850","11","-7","0","0","0","0","0","","0","0","12","0","0","0","0","8","1","1","1","0","party-personal-military","1","0","0","0","5.06718","2.48561","2.48561","2.48561","0.209554567","1","","0.4678196310997","0","","0.247995377","","","","","0.25639595619031","-0.11948019022605","","","","0","0","0","0","1","0","0","1","1"
"360","Indonesia","1983","IDN","850","16","-7","0","0","0","0","0","","0","0","17","0","0","0","0","8","1","1","1","0","party-personal-military","1","0","0","0","-5.55628","1.06479","1.06479","1.06479","0.201083687","0.7060432434082","","1","-0.607533284","","0","","","","","0.15253781896324","0.3152565809065","","","","0","0","0","0","1","0","0","1","1"
"360","Indonesia","1997-1998","IDN","850","30","-7","13","1","1","0","1","1999","0","1","31","1","1","1","1","8","1","1","1","0","party-personal-military","1","0","0","0","6.00424","-14.47234","-11.887802339553","-5.9439011697766","0.199823366","0.66272616386414","0.38468614220619","0.93939793109894","-0.63172160089016","0.07838100194931","-0.28601336479187","0.60389844731455","-0.29438384577757","0.28548973606629","0.15452021424216","0.20421269424398","0.46560484624587","0","0","1","0","0","0","0","1","0","0","1","2"
"364","Iran","1985","IRN","630","3","-6","0","0","0","0","0","","0","0","6","0","1","0","1","6","0","0","1","0","","1","0","0","0","-2.21173","-1.41962","-1.41962","-1.41962","0.125373042","0.45803344249725","","0.16480922698975","-0.0693416","","0","","","","","0.68361469413148","0.03598221908928","","","","0","1","0","0","0","0","0","1","1"
